id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition
7129300520,221900,3,1,1180,5650,1,0,3
6414100192,538000,3,2.25,2570,7242,2,0,3
5631500400,180000,2,1,770,10000,1,0,3
2487200875,604000,4,3,1960,5000,1,0,5
1954400510,510000,3,2,1680,8080,1,0,3
7237550310,1.23E+06,4,4.5,5420,101930,1,0,3
1321400060,257500,3,2.25,1715,6819,2,0,3
2008000270,291850,3,1.5,1060,9711,1,0,3
2414600126,229500,3,1,1780,7470,1,0,3
3793500160,323000,3,2.5,1890,6560,2,0,3
1736800520,662500,3,2.5,3560,9796,1,0,3
9212900260,468000,2,1,1160,6000,1,0,4
114101516,310000,3,1,1430,19901,1.5,0,4
6054650070,400000,3,1.75,1370,9680,1,0,4
1175000570,530000,5,2,1810,4850,1.5,0,3
9297300055,650000,4,3,2950,5000,2,0,3
1875500060,395000,3,2,1890,14040,2,0,3
6865200140,485000,4,1,1600,4300,1.5,0,4
16000397,189000,2,1,1200,9850,1,0,4
7983200060,230000,3,1,1250,9774,1,0,4
6300500875,385000,4,1.75,1620,4980,1,0,4
2524049179,2.00E+06,3,2.75,3050,44867,1,0,3
7137970340,285000,5,2.5,2270,6300,2,0,3
8091400200,252700,2,1.5,1070,9643,1,0,3
3814700200,329000,3,2.25,2450,6500,2,0,4
1202000200,233000,3,2,1710,4697,1.5,0,5
1794500383,937000,3,1.75,2450,2691,2,0,3
3303700376,667000,3,1,1400,1581,1.5,0,5
5101402488,438000,3,1.75,1520,6380,1,0,3
1873100390,719000,4,2.5,2570,7173,2,0,3
8562750320,580500,3,2.5,2320,3980,2,0,3
2426039314,280000,2,1.5,1190,1265,3,0,3
461000390,687500,4,1.75,2330,5000,1.5,0,4
7589200193,535000,3,1,1090,3000,1.5,0,4
7955080270,322500,4,2.75,2060,6659,1,0,3
9547205180,696000,3,2.5,2300,3060,1.5,0,3
9435300030,550000,4,1,1660,34848,1,0,1
2768000400,640000,4,2,2360,6000,2,0,4
7895500070,240000,4,1,1220,8075,1,0,2
2078500320,605000,4,2.5,2620,7553,2,0,3
5547700270,625000,4,2.5,2570,5520,2,0,3
7766200013,775000,4,2.25,4220,24186,1,0,3
7203220400,861990,5,2.75,3595,5639,2,0,3
9270200160,685000,3,1,1570,2280,2,0,3
1432701230,309000,3,1,1280,9656,1,0,4
8035350320,488000,3,2.5,3160,13603,2,0,3
8945200830,210490,3,1,990,8528,1,0,3
4178300310,785000,4,2.5,2290,13416,2,0,4
